Periodo;c1;c2;c3;c4;c5;c6;c7
2021 | Abril - Junio;2021;Abr-Jun;Alcalde;Aportes a candidatos;Pesos;3.000.000;Por aprobar
2021 | Abril - Junio;2021;Abr-Jun;Alcalde;Honorarios;Pesos;11.149.662;Por aprobar
2021 | Abril - Junio;2021;Abr-Jun;Alcalde;Publicidad electoral;Pesos;13.783.570;Por aprobar
2021 | Abril - Junio;2021;Abr-Jun;Concejales;Aportes a candidatos;Pesos;1.800.000;Por aprobar
2021 | Abril - Junio;2021;Abr-Jun;Concejales;Honorarios;Pesos;2.505.556;Por aprobar
2021 | Abril - Junio;2021;Abr-Jun;Concejales;Publicidad electoral;Pesos;3.134.350;Por aprobar
2021 | Abril - Junio;2021;Abr-Jun;Presidencial;Honorarios;Pesos;800.000;Por aprobar
2021 | Julio - Septiembre;2021;Jul - Sep;Primarias Presidenciales;Traslado de materiales;Pesos;1.075.760;Por aprobar
2021 | Julio - Septiembre;2021;Jul - Sep;Primarias Presidenciales;Publicidad electoral;Pesos;1.427.995;Por aprobar
2021 | Julio - Septiembre;2021;Jul - Sep;Primarias Presidenciales;Publicidad electoral;Pesos;36.669.504;Por aprobar
2021 | Julio - Septiembre;2021;Jul - Sep;Primarias Presidenciales;Telefonía Celular;Pesos;52.990;Por aprobar
2021 | Octubre - Diciembre;2021;Oct - Dic;Senadores;Aportes a candidatos;Pesos;85.000.000;Por aprobar
2021 | Octubre - Diciembre;2021;Oct - Dic;Senadores;Honorarios;Pesos;3.316.384;Por aprobar
2021 | Octubre - Diciembre;2021;Oct - Dic;Senadores;Publicidad electoral;Pesos;31.906.865;Por aprobar
2021 | Octubre - Diciembre;2021;Oct - Dic;Diputados;Aportes a candidatos;Pesos;108.500.000;Por aprobar
2021 | Octubre - Diciembre;2021;Oct - Dic;Diputados;Honorarios;Pesos;6.691.117;Por aprobar
2021 | Octubre - Diciembre;2021;Oct - Dic;Diputados;Publicidad electoral;Pesos;67.717.859;Por aprobar
2021 | Octubre - Diciembre;2021;Oct - Dic;Consejeros Regionales;Aportes a candidatos;Pesos;111.303.000;Por aprobar
2021 | Octubre - Diciembre;2021;Oct - Dic;Consejeros Regionales;Honorarios;Pesos;14.544.471;Por aprobar
2021 | Octubre - Diciembre;2021;Oct - Dic;Consejeros Regionales;Publicidad electoral;Pesos;38.743.039;Por aprobar
2022 | Gastos efectuados en campaña O;2016;Oct - Dic;Alcaldes;na;Pesos;94.277.798;Aprobado
2022 | Gastos efectuados en campaña O;2016;Oct - Dic;Concejales;na;Pesos;124.115.841;Aprobado
2022 | Enero - Marzo;2022;Ene - Mar;n/a;n/a;peso;0;n/a
2022 | Abril - Junio;2022;Abr - Jul;n/a;n/a;peso;0;n/a
2022 | Julio - Septiembre;2022;Jul-Sep;Plebiscito;Honorarios;Pesos;12.657.769;Por aprobar
2022 | Julio - Septiembre;2022;Jul-Sep;Plebiscito;Publicidad electoral;Pesos;190.660.107;Por aprobar
2022 | Julio - Septiembre;2022;Jul-Sep;Plebiscito;Gastos menores;Pesos;2.226.703;Por aprobar
2022 | Octubre - Diciembre;2022;Oct - Dic;Plebiscito;Honorarios;Pesos;1.795.442;Por aprobar
2022 | Octubre - Diciembre;2022;Oct - Dic;Plebiscito;Publicidad electoral;Pesos;7.807.693;Por aprobar
2022 | Octubre - Diciembre;2022;Oct - Dic;Plebiscito;Gastos menores;Pesos;1.997.842;Por aprobar
2023 | Gastos efectuados en campaña O;2016;Oct - Dic;Alcaldes;na;Pesos;94.277.798;Aprobado
2023 | Gastos efectuados en campaña O;2016;Oct - Dic;Concejales;na;Pesos;124.115.841;Aprobado
2023 | Enero - Marzo;2023;Ene-Mar;Consejeros Constitucionales;Honorarios;Pesos;574.713;Por aprobar
2023 | Enero - Marzo;2023;Ene-Mar;Consejeros Constitucionales;Publicidad electoral;Pesos;159.673.572;Por aprobar
2023 | Enero - Marzo;2023;Ene-Mar;Consejeros Constitucionales;Gastos menores;Pesos;0;Por aprobar
